title,type,netflix_original
Stranger Things,TV Show,True
The Crown,TV Show,True
The Umbrella Academy,TV Show,True
Virgin River,TV Show,True
The Witcher,TV Show,True
Outer Banks,TV Show,True
Sweet Magnolias,TV Show,True
Blood & Water,TV Show,True
Ratched,TV Show,True
Bridgerton,TV Show,True
Ginny & Georgia,TV Show,True
Sweet Tooth,TV Show,True
Vikings: Valhalla,TV Show,True
Savage Beauty,TV Show,True
The Lincoln Lawyer,TV Show,True
The Sandman,TV Show,True
Heartbreak High,TV Show,True
The Watcher,TV Show,True
The Recruit,TV Show,True
The Night Agent,TV Show,True
Unseen,TV Show,True
The Diplomat,TV Show,True
Fatal Seduction,TV Show,True
One Piece,TV Show,True
Miseducation,TV Show,True
My Life with the Walter Boys,TV Show,True
Fool Me Once,TV Show,True
The Brothers Sun,TV Show,True
Griselda,TV Show,True
Avatar: The Last Airbender,TV Show,True
3 Body Problem,TV Show,True
I Think You Should Leave with Tim Robinson,TV Show,True
Emily in Paris,TV Show,True
The Upshaws,TV Show,True
Mo,TV Show,True
Wednesday,TV Show,True
That '90s Show,TV Show,True
Unstable,TV Show,True
Beef,TV Show,True
"XO, Kitty",TV Show,True
FUBAR,TV Show,True
Survival of the Thickest,TV Show,True
Everything Now,TV Show,True
Neon,TV Show,True
Obliterated,TV Show,True
YOH' Christmas,TV Show,True
Heartstopper,TV Show,True
Big Mouth,TV Show,True
"Love, Death & Robots",TV Show,True
Masameer County,TV Show,True
Mulligan,TV Show,True
This World Can't Tear Me Down,TV Show,True
Blue Eye Samurai,TV Show,True
Carol & The End of The World,TV Show,True
Masters of the Universe: Revolution,TV Show,True
Kengan Ashura,TV Show,True
Blood of Zeus,TV Show,True
Record of Ragnarok,TV Show,True
Baki Hanma,TV Show,True
"Bastard!! -Heavy Metal, Dark Fantasy-",TV Show,True
Yakitori: Soldiers of Misfortune,TV Show,True
Skull Island,TV Show,True
Ōoku: The Inner Chambers,TV Show,True
Gamera Rebirth,TV Show,True
Castlevania: Nocturne,TV Show,True
Good Night World,TV Show,True
Captain Laserhawk: A Blood Dragon Remix,TV Show,True
Pluto,TV Show,True
Onimusha,TV Show,True
Akuma-kun,TV Show,True
Scott Pilgrim Takes Off,TV Show,True
My Daemon,TV Show,True
Onmyōji,TV Show,True
Pokémon Concierge,TV Show,True
The Dragon Prince,TV Show,True
Hilda,TV Show,True
Gabby's Dollhouse,TV Show,True
"Go, Dog. Go!",TV Show,True
Oggy Oggy,TV Show,True
Sharkdog,TV Show,True
"Ada Twist, Scientist",TV Show,True
The Creature Cases,TV Show,True
My Little Pony: Make Your Mark,TV Show,True
Spirit Rangers,TV Show,True
StoryBots: Answer Time,TV Show,True
Sonic Prime,TV Show,True
Princess Power,TV Show,True
My Dad the Bounty Hunter,TV Show,True
Larva Family,TV Show,True
Kitti Katz,TV Show,True
Not Quite Narwhal,TV Show,True
Supa Team 4,TV Show,True
Dew Drop Diaries,TV Show,True
Mech Cadets,TV Show,True
Little Baby Bum: Music Time,TV Show,True
Unicorn Academy,TV Show,True
CoComelon Lane,TV Show,True
AlRawabi School for Girls,TV Show,True
Finding Ola,TV Show,True
Devil's Advocate,TV Show,True
Tahir's House,TV Show,True
Hard Broken,TV Show,True
Crashing Eid,TV Show,True
Lupin,TV Show,True
Ganglands,TV Show,True
Represent,TV Show,True
Thicker Than Water,TV Show,True
Blood Coast,TV Show,True
How to Sell Drugs Online (Fast),TV Show,True
Kleo,TV Show,True
The Empress,TV Show,True
Delhi Crime,TV Show,True
She,TV Show,True
Mismatched,TV Show,True
Yeh Kaali Kaali Ankhein,TV Show,True
Khakee: The Bihar Chapter,TV Show,True
Class,TV Show,True
Rana Naidu,TV Show,True
Tooth Pari: When Love Bites,TV Show,True
Scoop,TV Show,True
Guns & Gulaabs,TV Show,True
Choona,TV Show,True
Kaala Paani,TV Show,True
Di4ries,TV Show,True
Everything Calls for Salvation,TV Show,True
I Hate Christmas,TV Show,True
The Law According to Lidia Poët,TV Show,True
Suburræterna,TV Show,True
Alice in Borderland,TV Show,True
Sanctuary,TV Show,True
The Days,TV Show,True
Burn the House Down,TV Show,True
YuYu Hakusho,TV Show,True
Sweet Home,TV Show,True
D.P.,TV Show,True
Squid Game,TV Show,True
Hellbound,TV Show,True
All of Us Are Dead,TV Show,True
The Glory,TV Show,True
Queenmaker,TV Show,True
Black Knight,TV Show,True
Bloodhounds,TV Show,True
Celebrity,TV Show,True
Mask Girl,TV Show,True
A Time Called You,TV Show,True
