Unnamed: 0,Title,Hours Viewed,Runtime,Views,top_10,year
1,Red Notice,"454,200,000",1:58,"230,900,000",films in english,after 2021
2,Don't Look Up,"408,600,000",2:23,"171,400,000",films in english,2021
3,The Adam Project,"281,000,000",1:47,"157,600,000",films in english,after 2021
4,Bird Box,"325,300,000",2:04,"157,400,000",films in english,2018
5,The Gray Man,"299,500,000",2:09,"139,300,000",films in english,after 2021
6,We Can Be Heroes,"231,200,000",1:41,"137,300,000",films in english,2020
7,The Mother,"265,900,000",1:57,"136,400,000",films in english,after 2021
8,Glass Onion: A Knives Out Mystery,"320,300,000",2:21,"136,300,000",films in english,after 2021
9,Extraction,"266,900,000",1:58,"135,700,000",films in english,2021
10,Extraction 2,"278,700,000",2:04,"134,900,000",films in english,after 2021
1,Troll,"178,600,000",1:44,"103,000,000",films (non-english),after 2021
2,The Platform,"129,700,000",1:34,"82,800,000",films (non-english),2021
3,Nowhere,"141,600,000",1:49,"77,900,000",films (non-english),after 2021
4,Through My Window,"116,000,000",1:54,"61,100,000",films (non-english),after 2021
5,AKA,"125,900,000",2:04,"60,900,000",films (non-english),after 2021
6,Blood Red Sky,"124,800,000",2:03,"60,900,000",films (non-english),2021
7,My Name Is Vendetta,"86,500,000",1:32,"56,400,000",films (non-english),after 2021
8,Black Crab,"103,300,000",1:55,"53,900,000",films (non-english),after 2021
9,All Quiet on the Western Front,"129,400,000",2:29,"52,100,000",films (non-english),after 2021
10,Below Zero,"86,700,000",1:47,"48,600,000",films (non-english),2021
1,Wednesday: Season 1,"1,718,800,000",6:49,"252,100,000",tv in english,after 2021
2,Stranger Things 4,"1,838,000,000",13:04,"140,700,000",tv in english,after 2021
3,DAHMER: Monster: The Jeffrey Dahmer Story,"1,031,100,000",8:55,"115,600,000",tv in english,after 2021
4,Bridgerton: Season 1,"929,300,000",8:12,"113,300,000",tv in english,after 2021
5,The Queen's Gambit: Limited Series,"746,400,000",6:37,"112,800,000",tv in english,2020
6,The Night Agent: Season 1,"803,200,000",8:11,"98,200,000",tv in english,after 2021
7,Stranger Things 3,"716,100,000",7:33,"94,800,000",tv in english,2019
8,Bridgerton: Season 2,"797,200,000",8:30,"93,800,000",tv in english,after 2021
9,The Witcher: Season 1,"663,600,000",8:00,"83,000,000",tv in english,2019
10,Queen Charlotte: A Bridgerton Story,"526,800,000",6:29,"81,300,000",tv in english,after 2021
1,Squid Game: Season 1,"2,205,200,000",8:19,"265,200,000",tv (non-english),2021
2,Money Heist: Part 4,"710,200,000",6:42,"106,000,000",tv (non-english),2020
3,Lupin: Part 1,"396,300,000",3:59,"99,500,000",tv (non-english),2021
4,Money Heist: Part 5,"900,700,000",9:05,"99,200,000",tv (non-english),2021
5,Money Heist: Part 3,"519,800,000",6:30,"80,000,000",tv (non-english),2020
6,Lupin: Part 2,"258,900,000",3:47,"68,400,000",tv (non-english),2021
7,Who Killed Sara?: Season 1,"392,400,000",6:43,"58,400,000",tv (non-english),2021
8,All of Us Are Dead: Season 1,"679,300,000",12:14,"55,500,000",tv (non-english),after 2021
9,Elite: Season 3,"334,800,000",6:42,"50,000,000",tv (non-english),2020
10,Dear Child: Limited Series,"236,100,000",4:49,"49,000,000",tv (non-english),after 2021
